order_id,booking_date,booking_time,booking_hour,booking_day_of_week,collection_date,collection_time,delivery_date,delivery_slot,zone,postal_district,postal_code,latitude,longitude,service,category,quantity,base_price_sgd,delicate_surcharge,express_type,express_multiplier,order_value_sgd,free_delivery,processing_days,processing_label,effort_score,order_status
AST-00001,2024-06-07,11:15,11,Friday,2024-06-07,14:46,2024-06-10,15:00-18:00,Choa Chu Kang / Bukit Panjang,District 23,69717,1.372722,103.754946,Sweater / Cardigan,Clothing,1,9,0,,1.0,8.83,No,2,1-2 days,1,Completed
AST-00002,2024-03-23,11:24,11,Saturday,2024-03-23,16:07,2024-03-25,15:00-18:00,Buona Vista / Holland,District 05,12101,1.309396,103.794449,Waist Resizing,Alterations,2,18,0,,1.0,35.73,No,2,1-2 days,2,Completed
AST-00003,2024-04-19,10:08,10,Friday,2024-04-19,15:55,2024-04-22,12:00-16:00,Choa Chu Kang / Bukit Panjang,District 23,67260,1.379911,103.741365,Saree,Traditional,3,20,0,Next-day,2.0,117.66,Yes,3,3-6 days,2,Completed
AST-00004,2024-08-30,21:25,21,Friday,2024-08-31,11:31,2024-09-04,15:00-18:00,Punggol / Sengkang,District 19,53861,1.379897,103.888976,Non-Leather Shoes,Bags & Shoes,1,55,0,,1.0,53.35,Yes,4,3-6 days,3,Completed
AST-00005,2024-11-01,10:33,10,Friday,2024-11-01,12:13,2024-11-04,09:00-13:00,Tampines / Pasir Ris,District 18,49393,1.375544,103.935057,Sofa Cover (3-Seater),Household,1,30,0,,1.0,29.73,No,3,3-6 days,2,Completed
AST-00006,2024-08-09,22:44,22,Friday,2024-08-10,15:08,2024-08-12,15:00-18:00,Jurong East / West,District 22,66371,1.342851,103.699998,Shirt / Blouse,Clothing,1,9,0,,1.0,8.86,No,2,1-2 days,1,Completed
AST-00007,2024-11-07,03:22,3,Thursday,2024-11-07,12:23,2024-11-11,12:00-16:00,Yishun / Sembawang,District 27,76170,1.422838,103.812891,Sofa Cover (3-Seater),Household,1,30,0,,1.0,29.87,No,3,3-6 days,2,Completed
AST-00008,2024-11-07,18:23,18,Thursday,2024-11-08,11:45,2024-11-11,12:00-16:00,Punggol / Sengkang,District 19,55597,1.402176,103.903873,Sweater / Cardigan,Clothing,1,9,4,,1.0,12.88,No,2,1-2 days,1,Completed
AST-00009,2025-02-07,09:03,9,Friday,2025-02-07,11:20,2025-02-10,12:00-16:00,Clementi / West Coast,District 05,11240,1.29834,103.779714,Baju Kurung (2pc),Traditional,2,32,0,,1.0,62.21,Yes,3,3-6 days,2,Completed
AST-00010,2025-04-23,20:24,20,Wednesday,2025-04-24,14:32,2025-04-26,09:00-13:00,Ang Mo Kio / Hougang,District 19,55198,1.359508,103.865089,Trousers / Shorts,Clothing,1,9,0,,1.0,8.86,No,2,1-2 days,1,Completed
AST-00011,2024-01-13,22:08,22,Saturday,2024-01-15,10:26,2024-01-17,15:00-18:00,CBD / Tanjong Pagar,District 01,05971,1.281268,103.842742,Tie / Bow Tie,Accessories,1,9,0,,1.0,8.94,No,2,1-2 days,1,Completed
AST-00012,2024-02-09,21:19,21,Friday,2024-02-10,15:09,2024-02-12,12:00-16:00,Tampines / Pasir Ris,District 18,50510,1.373718,103.920669,Trousers / Shorts,Clothing,3,9,0,,1.0,27.29,No,2,1-2 days,1,Completed
AST-00013,2024-03-26,08:36,8,Tuesday,2024-03-26,15:09,2024-03-28,15:00-18:00,Orchard / River Valley,District 09,20454,1.302185,103.823782,Shirt / Blouse,Clothing,1,9,0,Next-day,2.0,18.03,No,2,1-2 days,1,Completed
AST-00014,2025-05-29,08:48,8,Thursday,2025-05-29,11:29,2025-05-31,09:00-13:00,Ang Mo Kio / Hougang,District 19,55824,1.356763,103.845019,Shirt / Blouse,Clothing,5,9,0,,1.0,46.17,Yes,2,1-2 days,1,Completed
AST-00015,2024-08-19,20:25,20,Monday,2024-08-20,13:49,2024-08-23,12:00-16:00,Buona Vista / Holland,District 05,12507,1.301504,103.800929,Coat / Jacket,Clothing,3,14,0,Same-day,3.0,128.91,Yes,3,3-6 days,2,Completed
AST-00016,2024-07-31,09:37,9,Wednesday,2024-07-31,15:57,2024-08-01,12:00-16:00,Punggol / Sengkang,District 19,57706,1.376578,103.904277,Zip Replacement,Alterations,1,12,0,,1.0,12.15,No,1,1-2 days,1,Completed
AST-00017,2024-04-23,18:30,18,Tuesday,2024-04-24,10:22,2024-04-27,15:00-18:00,Orchard / River Valley,District 09,21788,1.310836,103.839401,Wintercoat (Below),Clothing,1,40,0,,1.0,40.8,Yes,3,3-6 days,3,Completed
AST-00018,2024-04-16,14:57,14,Tuesday,2024-04-16,12:15,2024-04-29,12:00-16:00,Orchard / River Valley,District 09,21709,1.294068,103.832585,Leather / Suede Item,Bags & Shoes,1,90,0,,1.0,88.18,Yes,12,10-14 days,5,Completed
AST-00019,2024-02-10,18:30,18,Saturday,2024-02-12,16:06,2024-02-14,15:00-18:00,Ang Mo Kio / Hougang,District 19,55180,1.369092,103.834843,Skirt,Clothing,2,12,0,,1.0,24.36,No,2,1-2 days,1,Completed
